state,fCreopencrit.2.5.,fCreopencrit.5.,fCreopencrit.25.,fCreopencrit.50.,fCreopencrit.75.,fCreopencrit.95.,fCreopencrit.97.5.,lambdareopencrit.2.5.,lambdareopencrit.5.,lambdareopencrit.25.,lambdareopencrit.50.,lambdareopencrit.75.,lambdareopencrit.95.,lambdareopencrit.97.5.,mubothreopencrit.2.5.,mubothreopencrit.5.,mubothreopencrit.25.,mubothreopencrit.50.,mubothreopencrit.75.,mubothreopencrit.95.,mubothreopencrit.97.5.
AK,0.408060054524297,0.418244667445027,0.484710675497283,0.52437632186024,0.576146985692638,0.636785238006713,0.658813615933302,0,0,0.197112948410431,0.331293026215926,0.61711771700211,Inf,Inf,0.159123780964179,0.174916008525045,0.234400479593645,0.291830946848949,0.356973318788062,0.464023601670106,0.484048619554756
AL,0.338799622929705,0.352038649606871,0.416386143987294,0.474904460823989,0.534256686587851,0.608785013304696,0.632373645259751,0,0.0958864080898644,0.146949108144242,0.198626138798813,0.303484406292297,0.945647670957333,Inf,0.117685795303128,0.133591124161179,0.171676328026828,0.214755978422987,0.278645399733193,0.367643161019656,0.414417992388611
AR,0.304636365281892,0.316952962135973,0.378667878407506,0.443937075103436,0.500069354511127,0.579337463996981,0.602890747754187,0,0,0.126692849048941,0.194643073414225,0.325682486195547,Inf,Inf,0.106685359112222,0.114294243918296,0.159030775908002,0.213119328376747,0.274732316658264,0.379619710656379,0.429221864469942
AZ,0.440148554152445,0.449073614062807,0.497578256802743,0.535664448351014,0.573457121976928,0.618087916573172,0.633558778878431,0,0,0,0.326958252224242,0.889005290939424,Inf,Inf,0.156885548855492,0.170693016474994,0.244859649726127,0.294348588646208,0.356381034370387,0.426238623209054,0.440440806204828
CA,0.36591104206169,0.376526569182093,0.428362399081215,0.473303066560379,0.513420264539084,0.568525934471151,0.587687320245323,0.0835134780558973,0.088245445660216,0.115119042069289,0.155317527710841,0.219397958268762,0.537056332473722,0.694680307247678,0.111010504586357,0.118459843535816,0.147971964542501,0.182508249738521,0.229857375159991,0.316370030957578,0.339922766631491
CO,0.25879782079618,0.282542093416915,0.367320904646526,0.425238582307929,0.484582526092109,0.564899147669623,0.587160810521073,0.0620701136330113,0.0686310956848924,0.106829602267014,0.156849721057712,0.238595901834022,0.652675969861087,Inf,0.0884717625205763,0.10019014216136,0.142754472326486,0.183890761038766,0.23264717020298,0.322695231760127,0.361462636663309
CT,0.116777133220072,0.186230536887971,0.353913082821828,0.452084039862496,0.52743472383277,0.615295969609666,0.634312827612586,0,0,0,0.00750375920119404,0.0337959368316534,0.0900495612592586,0.17813589288354,0.0731044453135328,0.0878144840715428,0.149778077610763,0.205329798762523,0.284665624896079,0.402468108590442,0.434360953418447
DC,0.296663982382497,0.322676511699961,0.400263701709681,0.451540312460542,0.493149487497802,0.551041219487806,0.567261338709811,0.0793382163226185,0.0956989375350208,0.144752669554718,0.199560796543835,0.325686539382932,0.889542855438415,Inf,0.11186189123698,0.124778993609692,0.162885724220166,0.201895750673293,0.250062683936908,0.328916704405412,0.35475664211683
DE,0.434471192214446,0.464504153106465,0.54849571668407,0.596155470766094,0.640125815458849,0.693861849443482,0.706511704888929,0.0642186897867408,0.0767988841326598,0.128748019299496,0.178908206347038,0.297904520099363,Inf,Inf,0.173797494012404,0.18998226216676,0.256522118163611,0.321764757936061,0.39898079843802,0.506025216171228,0.529311057210408
FL,0.464084691493688,0.476830416839011,0.520298754359284,0.550861811519166,0.581061348345218,0.628531475653253,0.640382357905743,0,0,0.193132012472654,0.279963265594349,0.565251250806164,Inf,Inf,0.149549081925622,0.156169323437133,0.199178363827112,0.251858261169609,0.316857415609301,0.400291750643093,0.426497692702679
GA,0.393032509005852,0.408662351167956,0.470608189958583,0.519508771420857,0.567081849459838,0.626150665367156,0.646343978645747,0,0,0.164551248411402,0.243276076358996,0.450130935878417,Inf,Inf,0.131097764372601,0.138522732096847,0.183323797443758,0.233720215076499,0.300636051067645,0.400936980588716,0.433423446962597
HI,0.354955981202475,0.365558824444252,0.406149704799473,0.443140927280235,0.483412005113813,0.52993913230237,0.54905772558467,0,0,0.208136685504392,0.343186185143429,0.6537791546817,Inf,Inf,0.132966597220233,0.141863582672091,0.190904278474928,0.232020195121066,0.279873538178495,0.346150461270908,0.359123654613513
IA,0.346147774836714,0.371720559460002,0.479545229199934,0.533328210342149,0.595289676247775,0.656270535219908,0.67371491627349,0.0648823063334691,0.0706233865510727,0.106373454404276,0.151861592177162,0.235066826816443,0.53214188415839,0.875645808754103,0.139072354236023,0.149222608832343,0.205989098548708,0.269144633499793,0.339287447207599,0.446156400705943,0.478440694014095
ID,0.492100217602207,0.510763167906021,0.570676063665267,0.625457414522184,0.668367149801709,0.731482167871909,0.745435336291562,0,0,0.164264835620978,0.325478858228335,0.565018594239191,Inf,Inf,0.187146967799049,0.201650453687881,0.271806211008316,0.337185380672616,0.423848526447396,0.526336590550976,0.562262210137647
IL,0.401217955051215,0.42785889533939,0.499402142366895,0.546007980241945,0.593814584680103,0.646725925094525,0.664190920332997,0.0986805039187147,0.118949777332686,0.16990961680496,0.226836942296071,0.327828195235837,0.821484006449011,Inf,0.162795339134725,0.170154756668554,0.209243293005923,0.253836664496245,0.298608509593738,0.402681150947889,0.425970127984904
IN,0.324284056557524,0.342825544888421,0.406992019692828,0.457584851130649,0.505177636951193,0.59293100430339,0.605409286118297,0.0725688159193433,0.0805963247329375,0.118091634233963,0.164084044602826,0.256922985939014,0.631920553356087,0.992389917405139,0.104022312700994,0.109026882149484,0.148715917207582,0.185385040057998,0.240217120029707,0.319260378761616,0.347666718495768
KS,0.199435937808917,0.229389470420671,0.317112738994564,0.386466397994306,0.469060066247299,0.563748235577202,0.587005729360699,0.0403316591840248,0.0485280097488601,0.089292635980477,0.125674957635131,0.1922058065684,0.414986228859321,0.610276561160237,0.0866260344085198,0.0960193358908318,0.13153816447723,0.182003743984199,0.239718153700618,0.3469233937329,0.38112387220967
KY,0.238862003903595,0.275783196016466,0.346480793775911,0.405522602070825,0.480500723810094,0.573860251079261,0.613424744652972,0.0446862224507634,0.0531247279885842,0.0909815964984172,0.123582732138054,0.18266284075493,0.381664949308117,0.596685070418547,0.0858193208181563,0.0942972847306848,0.134683589457682,0.181328271149913,0.235548604321033,0.339979802844441,0.376064740062485
LA,0.374302242053584,0.398590667813474,0.46783138412108,0.513100074278851,0.558442815040143,0.621212245347771,0.653244788975007,0,0,0.173345448887359,0.241540694808282,0.39000461702242,Inf,Inf,0.133625617954202,0.140760956932116,0.183104239804657,0.226980114116394,0.290428784693348,0.391413259346443,0.41728533182921
MA,0.223192360095462,0.243788652219292,0.336508161374088,0.397057658312064,0.451591704173064,0.520238291318493,0.548489708286971,0.0379441940296354,0.0561381990020307,0.114805395887885,0.166371178235087,0.246643136262833,0.608672527009924,0.848623916169416,0.0990269697073895,0.108439636456571,0.140802274816391,0.175405245062296,0.218643558978219,0.310039624570751,0.332845899052389
MD,0.492778142339472,0.505419377384393,0.550638026122587,0.579717192255562,0.606748757364557,0.642726304760281,0.656895966247193,0,0,0.209444240925507,0.290829383766614,0.479967780703489,Inf,Inf,0.172593951891908,0.183325686154697,0.224205044104631,0.265997992227777,0.329056087341768,0.430283689271652,0.447845673636797
ME,0.186644933584553,0.22788143656747,0.37241155834538,0.461246112358565,0.547770093820014,0.675203170900046,0.713030096356732,0,0,0,0,0.00390291308555226,0.032101142927108,0.0404153146716888,0.0427346731447809,0.0538997979098744,0.117904340850864,0.17865243631989,0.263007896849858,0.447869479520632,0.504995115416121
MI,0.440535041851971,0.463115338061507,0.521301831282753,0.563848895270482,0.603958237116829,0.645147184673972,0.658588138887586,0.0892049173576717,0.104583715549378,0.157456575962593,0.219477990244256,0.310513703707782,0.776440199691682,Inf,0.140453983326341,0.146240262257669,0.181700825635566,0.221757461494319,0.275732416829508,0.364055771981906,0.4012282326948
MN,0.420107226740529,0.444028672347092,0.523810909918936,0.574360604720719,0.617344296772429,0.674461971059068,0.696131221813394,0.0479956029668023,0.0635924901131121,0.104217112609951,0.153764768051442,0.224071967610252,0.630269906266458,0.967105331595452,0.162248579486823,0.176157337499204,0.237612219880149,0.296093896778234,0.365384590818477,0.468374217864571,0.500730440483887
MO,0.335403349570625,0.361473470929099,0.421066899245186,0.471691139223121,0.520578072099494,0.595265160407362,0.618164854569532,0.0571237289184579,0.0849416127902142,0.131721833926665,0.196419307219307,0.327506326299741,Inf,Inf,0.105816979489427,0.114038338694639,0.150929418547432,0.205638289166496,0.263636053047716,0.364564956182711,0.409774196092738
MS,0.308616225170648,0.332467103288577,0.414311588150757,0.477690330990614,0.533924069853748,0.616086083489487,0.637998296085046,0,0,0.143021817074857,0.205824390916381,0.33015119748415,Inf,Inf,0.105899996589842,0.118349721837589,0.16613203561712,0.209694740631193,0.275286611449427,0.380485780219505,0.406068742050973
MT,0.458378171838633,0.470746435301483,0.523492455190563,0.561073761148395,0.60316188085085,0.655402188831781,0.679605981332347,0,0,0.187545904358863,0.38010944063073,0.763042115949991,Inf,Inf,0.185368588890732,0.198785663210548,0.269213707239352,0.33532582473297,0.395808470643354,0.490165924732709,0.519168698371411
NC,0.300709802391785,0.334022264376751,0.417581416615105,0.464813212419232,0.517849916599253,0.590643059600743,0.61452956445194,0.059798638489696,0.065229398451261,0.0970119556742037,0.143813841927619,0.218251813843361,0.487449750237918,0.541886949739396,0.100132155971079,0.109226836571082,0.156861150074288,0.206765597637953,0.260994411974344,0.374290767786533,0.403850725651259
ND,0.362837978446509,0.391372212107815,0.458466199622177,0.515619500949642,0.570289509620306,0.641570475174946,0.659964180486936,0,0,0.168188142673899,0.246436577771346,0.460940567076188,Inf,Inf,0.127114356446569,0.138690670216114,0.186570665978156,0.242159677930504,0.318660355389518,0.434249117021842,0.48431340132225
NE,0.165879144235942,0.21603449017794,0.323956838198699,0.403201191553877,0.48670388626219,0.57567566904748,0.595608398324274,0.0285440834665826,0.0363880341629772,0.0665704249847932,0.0917249596812017,0.122351877701409,0.211017874735067,0.24095245495192,0.0905403222500675,0.0985882877518143,0.144156763784266,0.191250557628486,0.262299133412914,0.383438430314954,0.416080479489624
NH,0,0,0.0855800838726579,0.20557655283714,0.337138593079926,0.488116008967296,0.52691176707286,0,0,0,0,0.01381876170765,0.0399921975437305,0.0508585482266039,0.00899160495233605,0.0156985763371786,0.0399053520482668,0.06954660582341,0.112829393924246,0.227501165657718,0.286979794672481
NJ,0.0983406475076272,0.120302046681494,0.212103446525085,0.296897663111511,0.377242595080529,0.491569971951894,0.53385533950932,0.0141824634865228,0.0225239429986356,0.045805681145848,0.0670406290966559,0.0931353225975633,0.142153471433191,0.165180235090318,0.05767564218222,0.0693478982267018,0.0941927414749709,0.118508244403634,0.14963598029206,0.219322228679623,0.250617708504931
NM,0.321343122672242,0.340114180925225,0.41769495768551,0.472566624484511,0.527380045143659,0.594571528280431,0.611778279671184,0.0679750583788425,0.0764203327951935,0.119590860837429,0.171016710160953,0.268476622663396,0.783515845658341,Inf,0.102808061548707,0.114287794254511,0.161568362919198,0.20814496757829,0.268838212837484,0.369261665517479,0.415533633127578
NV,0.46318351222972,0.478262681253968,0.537928804542635,0.572441201953092,0.606358547585548,0.649745203593307,0.65862333635349,0,0,0.161627362975066,0.235952130104144,0.4876235583331,Inf,Inf,0.133334738628115,0.149401481586592,0.193197554892627,0.244165694858248,0.322290762629878,0.422108910368097,0.434613105862107
NY,0.495479346430361,0.514817324087556,0.571706052523012,0.600505538587207,0.632582186264324,0.671323268412599,0.683288108314336,0.0766502007125807,0.0829789685842391,0.112438393202406,0.144254404523122,0.199812509382816,0.38777903893146,0.513672225387125,0.175494136133136,0.182494208304253,0.217711599372715,0.24855668009869,0.293228927782704,0.394885757602885,0.424359840834588
OH,0.360061125767166,0.380898410120186,0.436632548844679,0.48518441765951,0.533109326723075,0.615797440678252,0.63826072352327,0.0834724781026473,0.0950057823755729,0.130171371026204,0.173313466131017,0.268402053736446,0.694872173094795,Inf,0.117072316024319,0.121740357627999,0.163645619799234,0.206824207604666,0.275038966239645,0.375652197837758,0.431145102061734
OK,0.419386880458792,0.438140074884903,0.493608064733864,0.537533269378295,0.581954666844365,0.636884397543512,0.65379674179969,0.089629396614395,0.103226589669936,0.149447937092526,0.215815670038994,0.383239497110142,Inf,Inf,0.126495660883204,0.138762417384658,0.184019758447794,0.236645682700345,0.307910915961154,0.419072352327761,0.436193855448188
OR,0.331095930091989,0.350853914263661,0.412490040242248,0.457941268921111,0.50986844975332,0.575423386931138,0.598308384110493,0.0767555213505357,0.0857957531748,0.121129371619976,0.179874838056588,0.303640531837348,0.794014246273806,Inf,0.105654531048393,0.115365201372501,0.156137503086679,0.190264584067193,0.243871120334128,0.350325758134148,0.367129871271404
PA,0.296060272643074,0.322522227108783,0.410576130826188,0.46748736927869,0.522285493718274,0.596634042309331,0.617756057285071,0.0597011413578161,0.0699886518666059,0.113308237510472,0.164473231481999,0.262751800989146,0.662892251528143,Inf,0.108755326909933,0.120100613268037,0.160884278964886,0.210547939260924,0.276777907879011,0.368975050336866,0.40041592053802
RI,0.147172882740896,0.192639863954029,0.348484699554395,0.432421770004977,0.501854010262384,0.600164937069553,0.632648830896002,0.00428273128491101,0.0168339746061427,0.0439241983271216,0.0684966287142597,0.116535458167833,0.273496704003486,0.416948857561874,0.0752651804669617,0.0910082754676952,0.133423521362357,0.192021830877641,0.256960150821069,0.3714266714666,0.417122607798647
SC,0.378404179421783,0.396114510783185,0.461060864243626,0.499118438829085,0.545308521948003,0.619267018326347,0.639820099877398,0,0,0.159013515017127,0.22956981884089,0.387456665145895,Inf,Inf,0.117822752386838,0.129793091255404,0.183894527565623,0.234998219739893,0.292670078956398,0.400987255229295,0.439889232994237
SD,0.117212675013523,0.141117622036714,0.254711968006045,0.337275296543251,0.430799597685988,0.562880744573801,0.596887248597358,0.0278435428892257,0.0335591676943922,0.0574678258396493,0.0791860963413516,0.117680216752047,0.218252764893327,0.305678688047009,0.0603321534766017,0.0683247806954833,0.104122227071197,0.149645671753689,0.212190327239291,0.347625888077556,0.386298227585174
TN,0.336936181621171,0.350003953439558,0.419280512286367,0.480139635072097,0.536531422627235,0.616123888892203,0.635651411398863,0,0.0835585235263514,0.155062420022821,0.216150300834975,0.346398093311604,Inf,Inf,0.11650914214232,0.127128856151618,0.17471739809811,0.222067930504697,0.285926222688975,0.396182187723184,0.426294133011582
TX,0.420297091468301,0.439848248424723,0.493263234222498,0.53050995278563,0.565977363772913,0.610992583042948,0.631497553228455,0,0.105469648508202,0.162751435731647,0.232685881804443,0.383620803866519,Inf,Inf,0.135665247476799,0.144767933390679,0.190026800457646,0.233731635859178,0.290092597860222,0.381585703596528,0.403258923709142
UT,0.329669632851597,0.350315922323985,0.414449737917795,0.469231783979081,0.517290586281962,0.58106219416387,0.603326561147375,0,0.0761382460579542,0.152972975677156,0.261506337421175,0.485304471187077,Inf,Inf,0.120637544396759,0.130720981510024,0.187340884001999,0.246935956183885,0.317411042986024,0.397510994852962,0.422151473284851
VA,0.272134885159348,0.305570185502729,0.398440675972854,0.444308160176327,0.509227346104378,0.574635987969131,0.589445387371647,0.0607611132063267,0.0735347779482095,0.118377570242251,0.160950482204368,0.255658134357263,0.639734412219492,0.924307041114135,0.111807577194317,0.121781424113152,0.164085755610133,0.209856803728819,0.266801193903371,0.366672830131639,0.388171178600524
VT,0.159471681971988,0.1769560517323,0.241005600226761,0.298795376309423,0.358244608766962,0.457447358757604,0.489981909830618,0.0339488989672881,0.0436215134977111,0.067828174531821,0.0940544720369778,0.131645857866444,0.216898697743454,0.254844057530537,0.0675576491057169,0.0749570078516796,0.103319971806531,0.132927860254066,0.169014314502141,0.253240456342044,0.280942493561241
WA,0.342812462056379,0.355321815186977,0.411651675052054,0.453937490390265,0.498355463944377,0.560926578850304,0.592468502240679,0,0,0,0,0.167524447141261,Inf,Inf,0.164756630535481,0.197845111493508,0.312048197534987,0.371806163549199,0.420834301670119,0.48544729361128,0.506395511031403
WI,0.279423463316865,0.298239967567613,0.387759001999471,0.473453168757699,0.566864741161703,0.686999658111154,0.740092660053403,0,0.0496287233260245,0.0863413414245456,0.137070675848732,0.230794555149085,0.703845587000298,Inf,0.0934597545571378,0.100589587157729,0.147421998629983,0.200966084515943,0.27862728076785,0.41638279369459,0.451111509780023
WV,0.351339582983966,0.3682619444477,0.440418919334718,0.491174070937697,0.552198503605807,0.635532822394831,0.671919394414134,0,0.0913285431113543,0.145225395360924,0.215142993439585,0.342165724154329,Inf,Inf,0.116767359822432,0.133649135052304,0.17992844809576,0.229541810536956,0.296688433605069,0.419352422408856,0.463261216623701
WY,0.300924765291423,0.331673558575683,0.419826917756453,0.485541387179471,0.547744071355879,0.633062004651592,0.656365943307737,0,0,0.111082642615559,0.179096745850196,0.308991547329316,Inf,Inf,0.094664657668969,0.108985640816001,0.160196565863627,0.227036564119832,0.304934420048588,0.441765415367674,0.486838430141287
